file,time,word,phoneme,automatic_ipa,F1,F2,F3,syllable_position,syllable,initial_syllable
Bulat,62.330607142857154,егерменче,е,e,439.97840055801737,1750.5725853208833,2226.630607459343,3,мен,outside initial syllable
Bulat,62.66672147995889,егерменче,е,e,555.2826007180781,1731.3546793900125,2550.699967670329,4,че,final syllable
Bulat,63.77416360585001,бәтиләре,ә,æ,589.7449093217538,1682.4726044457418,2522.915178784287,1,бә,initial syllable
Bulat,63.932372045220966,бәтиләре,и,i,311.24379854086493,2031.717177951672,2813.060636006213,2,ти,outside initial syllable
Bulat,64.08926708633096,бәтиләре,ә,æ,536.5140264701893,1805.6712156297167,2544.4004184031915,3,лә,outside initial syllable
Bulat,64.25743602261048,бәтиләре,е,e,507.8593703154093,1761.0301729384628,2481.7733952457697,4,ре,final syllable
Bulat,65.40749357656729,сыерымны,ы,ɯ,447.4859238781172,1757.5361706053573,2598.511058310612,1,с,initial syllable
Bulat,65.48579971736896,сыерымны,е,e,368.73083053185326,1941.576806504262,2600.6779019857063,2,ые,outside initial syllable
Bulat,65.5991133093525,сыерымны,ы,ɯ,539.1445788807531,1421.6679192958663,2273.7337159350263,3,рым,outside initial syllable
Bulat,65.87456667523122,сыерымны,ы,ɯ,536.7966568862179,1443.1002029814492,2129.4105374854416,4,ны,final syllable
Bulat,67.92490955806782,дүртенче,ү,y,388.53233767502536,1382.58240992087,2501.1941521012013,,,
Bulat,68.11415775950667,дүртенче,е,e,325.95230057166265,1547.5019607254333,2257.344328350754,1,дүр,initial syllable
Bulat,68.42922482014387,дүртенче,е,e,539.3022877858257,1713.4982897002815,2595.753086761945,2,тен,final syllable
Bulat,69.42052877697843,базарларда,а,ɒ,562.5086625203656,1159.5830588776125,2615.1931601491087,1,ба,initial syllable
Bulat,69.5658140222516,базарларда,а,ɒ,544.2099397166543,1340.8073069294835,2669.033528305441,2,зар,outside initial syllable
Bulat,69.75956654676258,базарларда,а,ɑ,646.1625858768402,1321.842193959303,2619.293703327466,3,лар,outside initial syllable
Bulat,70.0216025179856,базарларда,а,ɑ,632.2799076111806,1427.1831264144128,2737.1126808947533,4,да,final syllable
